,avgDifficulty,avgRating,department,firstName,id,lastName,legacyId,numRatings,wouldTakeAgainPercent,schoolId,schoolName
551,2.8,2.6,Physics,A,VGVhY2hlci00MjkzMDY=,Pereira,429306,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
552,3.8,3.8,Science,R  Keith,VGVhY2hlci00Mjk4Nzg=,Poole,429878,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
553,1.8,1.8,Dramatic Arts,Daniel David,VGVhY2hlci00MzA2MzM=,Moses,430633,11,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
554,4.0,3.8,Sociology,Villia,VGVhY2hlci00MzMwNzg=,Jefremovas,433078,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
555,3.6,2.2,Anatomy,Karen R,VGVhY2hlci00MzUwODc=,Hitchcock,435087,10,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
556,4.1,2.7,Economics,Thorsten,VGVhY2hlci00Mzk1ODg=,Koepll,439588,8,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
557,2.8,2.7,Economics,Frank,VGVhY2hlci00Mzk1OTg=,Milne,439598,18,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
558,2.5,4.5,Business,Kenneth,VGVhY2hlci00NDM0OTI=,Wong,443492,20,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
559,2.7,4.5,Pharmacology,Kanji,VGVhY2hlci00NDU0Njc=,Nakatsu,445467,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
560,3.7,4.0,Political Science,Robert,VGVhY2hlci00NDU0OTc=,Wolfe,445497,24,93.3333,U2Nob29sLTE0NjY=,Queen's University at Kingston
561,2.7,4.8,Psychology,Valerie Ann,VGVhY2hlci00NDYyNTU=,Kuhlmeier,446255,21,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
562,3.5,3.4,Civil Engineering,Andrew,VGVhY2hlci00NDY2NTA=,Take,446650,7,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
563,0.0,0.0,Physiology,Nicholas John G,VGVhY2hlci00NDc4Mzc=,Delva,447837,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
564,0.0,0.0,Biology,Marianne S V,VGVhY2hlci00NDc4Mzg=,Douglas,447838,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
565,3.0,2.9,Art History,Lynda L,VGVhY2hlci00NTIyMjg=,Jessup,452228,9,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
566,0.0,0.0,Art History,John L,VGVhY2hlci00NTIyMjk=,Osborne,452229,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
567,2.6,3.6,Fine Arts,Otis,VGVhY2hlci00NjA3MzU=,Tamasauskas,460735,8,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
568,3.9,2.4,Sociology,Myra,VGVhY2hlci00NjcyOTI=,Hird,467292,40,25.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
569,2.7,3.6,History,Adnan,VGVhY2hlci00NjgxMDI=,Husain,468102,20,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
570,3.5,2.0,French,Monique,VGVhY2hlci00NzY4MDA=,Dufresne,476800,14,50.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
571,2.3,2.9,Political Science,Anita J,VGVhY2hlci00NzgxNjQ=,Krajnc,478164,19,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
572,3.8,4.0,Mathematics,Gregory G,VGVhY2hlci00NzkwMzA=,Smith,479030,26,33.3333,U2Nob29sLTE0NjY=,Queen's University at Kingston
573,3.5,2.2,Business,Paul A,VGVhY2hlci00ODA5MjM=,Cunningham,480923,13,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
574,2.2,3.1,Philosophy,Mike,VGVhY2hlci00ODYzNTI=,Kocsis,486352,19,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
575,2.6,4.7,Business,Matthew S,VGVhY2hlci00ODcxMTY=,Thompson,487116,21,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
576,4.2,3.3,Accounting,Daniel B,VGVhY2hlci00OTAyMjM=,Thornton,490223,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
577,3.6,4.0,Health Science,Terry,VGVhY2hlci00OTUyOTc=,Krupa,495297,5,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
578,3.2,4.2,Physical Ed,Lucie,VGVhY2hlci00OTc3MTM=,Levesque,497713,20,66.6667,U2Nob29sLTE0NjY=,Queen's University at Kingston
579,2.5,3.8,Religion,Justin Jaron,VGVhY2hlci01MDM1MzU=,Lewis,503535,12,50.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
580,0.0,0.0,Sociology,Robert A,VGVhY2hlci01MDQ0NjU=,Silverman,504465,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
581,2.8,4.3,Mathematics,Brandon,VGVhY2hlci01MjEzMTU=,Fodden,521315,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
582,3.3,3.2,Law,Tsvi,VGVhY2hlci01MjIxMzQ=,Kahana,522134,24,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
583,4.0,1.5,Economics,Sharif,VGVhY2hlci01MjI1OTU=,Kahn,522595,1,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
584,3.2,4.5,Sociology,Martin,VGVhY2hlci01MzM4ODE=,Hand,533881,15,75.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
585,3.2,4.4,History,Jeffery,VGVhY2hlci01MzcwOTY=,Collins,537096,19,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
586,0.0,0.0,Mining Engineering,Cezar I,VGVhY2hlci01MzcxODk=,Trifu,537189,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
587,1.7,4.0,Chemical Engineering,Ronald J,VGVhY2hlci01MzcxOTQ=,Neufeld,537194,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
588,0.0,0.0,French,Martha E,VGVhY2hlci01NDA3NzM=,Moon,540773,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
589,0.0,0.0,Sociology,Bonne,VGVhY2hlci01NDA3NzQ=,Natale,540774,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
590,3.2,2.3,Electrical Engineering,Scott S H,VGVhY2hlci01NDA5NDU=,Yam,540945,23,50.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
591,3.1,2.7,Electrical Engineering,Ying (Jenny),VGVhY2hlci01NDE1ODY=,Zou,541586,13,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
592,3.3,3.3,Electrical Engineering,Alireza,VGVhY2hlci01NDE1OTE=,Bakhshai,541591,8,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
593,0.0,0.0,Psychology,Bill,VGVhY2hlci01NDIzNjc=,Walker,542367,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
594,0.0,0.0,Psychology,Dave,VGVhY2hlci01NDIzNjg=,Hall,542368,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
595,3.2,3.0,French,Catherine D Marie,VGVhY2hlci01NDMxNTg=,Dhavernas,543158,10,33.3333,U2Nob29sLTE0NjY=,Queen's University at Kingston
596,0.0,0.0,Electrical Engineering,Ahmed I,VGVhY2hlci01NDQwOTM=,Sulyman,544093,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
597,3.2,3.7,Women's Studies,Katherine,VGVhY2hlci01NDk4NjA=,McKittrick,549860,16,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
598,2.7,4.7,English,Erika,VGVhY2hlci01NTQ2MDg=,Behrisch,554608,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
599,2.5,2.9,Education,John,VGVhY2hlci01NTQ5MTc=,Freeman,554917,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
600,2.8,5.0,Business,Clinton,VGVhY2hlci01NjIwNjA=,Free,562060,12,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
601,3.6,1.0,Engineering,Paula,VGVhY2hlci01NjQ4NjE=,Klink,564861,5,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
602,0.0,0.0,Science,Cynthia Louise,VGVhY2hlci01NjQ4NjI=,Price,564862,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
603,3.0,3.4,Nursing,C Ann,VGVhY2hlci01NjcwMTk=,Brown,567019,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
604,3.3,2.2,Business,Bill,VGVhY2hlci01Njk0MDc=,Blake,569407,13,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
605,2.3,2.5,Health Science,Ian,VGVhY2hlci01ODI5MTk=,Jenssen,582919,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
606,2.8,3.5,Physics,Robert G,VGVhY2hlci01ODk3ODM=,Knobel,589783,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
607,2.6,4.6,History,Harold,VGVhY2hlci01OTI3Mzk=,Mah,592739,13,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
608,2.9,3.9,Political Science,Oded,VGVhY2hlci01OTM1NzU=,Haklai,593575,28,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
609,1.0,5.0,Classics,Terri,VGVhY2hlci01OTY1Mzg=,Smith,596538,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
610,2.8,4.0,German,David,VGVhY2hlci01OTg1MTc=,Pugh,598517,10,33.3333,U2Nob29sLTE0NjY=,Queen's University at Kingston
611,2.8,4.0,Philosophy,Rahul,VGVhY2hlci01OTk0NzE=,Kumar,599471,16,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
612,2.7,4.3,Art History,Pierre,VGVhY2hlci01OTk3NjA=,Du Prey,599760,10,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
613,3.0,2.3,Business,Mikhail,VGVhY2hlci02MDAwNTM=,Nediak,600053,10,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
614,2.8,3.4,Physical Ed,Samantha,VGVhY2hlci02MDA4NTc=,King,600857,5,50.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
615,3.1,2.2,Education,Valerie,VGVhY2hlci02MDUzOTQ=,Ashford,605394,13,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
616,2.8,3.0,History,Colin,VGVhY2hlci02MjAwMDQ=,Duncan,620004,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
617,3.4,2.8,Education,Magda,VGVhY2hlci02MjQ1ODE=,Lewis,624581,9,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
618,2.7,4.0,Mechanical Engineering,Il-Yong,VGVhY2hlci02MjkxOTM=,Kim,629193,17,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
619,0.0,0.0,Mining Engineering,Jonathan,VGVhY2hlci02MzA2MzE=,Peck,630631,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
620,1.0,3.5,History,Houchang,VGVhY2hlci02MzM5Nzk=,Hassan-Yari,633979,2,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
621,4.0,1.0,Business,David M,VGVhY2hlci02MzUwNDI=,Saunders,635042,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
622,2.3,4.7,Music,Adrienne,VGVhY2hlci02MzYwMjM=,Shannon,636023,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
623,0.0,0.0,Civil Engineering,Anthony C F,VGVhY2hlci02MzYwNzg=,West,636078,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
624,2.3,4.5,Spanish,Monica,VGVhY2hlci02Mzc2Nzk=,Chamberlain,637679,12,80.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
625,4.1,1.6,Biology,Fern,VGVhY2hlci02Mzk4OTc=,Gauthier,639897,14,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
626,0.0,0.0,French,Dianne Lillian,VGVhY2hlci02NDE2ODU=,Dutton,641685,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
627,0.0,0.0,Philosophy,Edward J,VGVhY2hlci02NDM0NTY=,Bond,643456,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
628,0.0,0.0,Psychology,Randall K,VGVhY2hlci02NDU0NjI=,Jamieson,645462,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
629,2.8,2.5,Mechanical Engineering,Yongjun,VGVhY2hlci02NTExNjQ=,Lai,651164,11,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
630,3.5,2.9,Civil Engineering,Leon,VGVhY2hlci02NTIzNDE=,Boegman,652341,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
631,4.3,1.0,Civil Engineering,Ian D,VGVhY2hlci02NTIzNDI=,Moore,652342,9,0.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
632,0.0,0.0,Civil Engineering,Amr,VGVhY2hlci02NzU5MDk=,Shaat,675909,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
633,3.2,3.6,Law,Cherie,VGVhY2hlci03MDY0NTc=,Metcalf,706457,10,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
634,2.0,3.6,Mathematics,Maria Grazia,VGVhY2hlci03MDkwOTM=,Viola,709093,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
635,3.8,2.4,French,Tracy,VGVhY2hlci03MTY4NTU=,Russell,716855,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
636,3.5,3.3,Chemistry,David,VGVhY2hlci03MzA3MTQ=,Zechel,730714,56,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
637,3.3,4.6,Pharmacology,Hisham,VGVhY2hlci03Mzg1MTI=,Elbatarny,738512,17,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
638,2.0,5.0,Music,Mark,VGVhY2hlci03NDc1MDM=,Sirrett,747503,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
639,2.0,4.7,German,Jill,VGVhY2hlci03NTQ3NDU=,Scott,754745,6,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
640,4.0,5.0,Nursing,Laurie,VGVhY2hlci03NjA4OTc=,Kerr,760897,3,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
641,3.0,3.9,Nursing,Jane,VGVhY2hlci03NjA5MDM=,Tyerman,760903,9,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
642,0.0,0.0,German,Margaret,VGVhY2hlci03NjIxNTM=,Wojtunik,762153,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
643,3.2,4.5,Philosophy,Dlc,VGVhY2hlci03NzE1MTk=,MacLachlan,771519,6,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
644,3.5,4.4,Physics,James,VGVhY2hlci03OTAwMDQ=,Fraser,790004,33,60.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
645,3.5,1.9,Chemistry,Erwin,VGVhY2hlci04MTg4MDk=,Buncel,818809,4,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
646,2.2,4.9,Philosophy,Jim,VGVhY2hlci04MjM5Mzc=,Molos,823937,23,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
647,2.2,4.1,Spanish,Joanne,VGVhY2hlci04MjY4MDU=,Rotermundt-De La Parra,826805,50,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
648,0.0,0.0,Biology,Kamini,VGVhY2hlci04MzA5NzI=,Persaud,830972,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
649,2.9,4.2,English,Sheetal,VGVhY2hlci04MzYzMzc=,Lodhia,836337,12,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
650,3.7,4.0,Political Science,Keith,VGVhY2hlci04NDA2NTI=,Banting,840652,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
651,2.0,4.5,Policy Studies,David,VGVhY2hlci04NDA2NTY=,Elder,840656,2,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
652,1.7,4.6,French,Agnes,VGVhY2hlci04NDE1MDA=,Conacher,841500,13,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
653,4.2,3.1,Policy Studies,Steve,VGVhY2hlci04NTI1OTY=,Lehrer,852596,18,66.6667,U2Nob29sLTE0NjY=,Queen's University at Kingston
654,2.8,4.6,Fine Arts,Dan,VGVhY2hlci04NTkyMTE=,Oxley,859211,5,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
655,2.8,4.5,Microbiology,Anna,VGVhY2hlci04NjMzODU=,Majury,863385,8,100.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
656,0.0,0.0,Medicine,Elizabeth,VGVhY2hlci04NjYzNzc=,Eisenhauer,866377,0,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
657,3.0,4.8,Electrical Engineering,Firouz,VGVhY2hlci04NjczOTI=,Behnamfar,867392,3,-1.0,U2Nob29sLTE0NjY=,Queen's University at Kingston
